YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Food & Drink
2014-06-08 - 2014-06-14,+57%
2014-06-15 - 2014-06-21,+50%
2014-06-22 - 2014-06-28,+55%
2014-06-29 - 2014-07-05,+60%
2014-07-06 - 2014-07-12,+59%
2014-07-13 - 2014-07-19,+55%
2014-07-20 - 2014-07-26,+57%
2014-07-27 - 2014-08-02,+60%
2014-08-03 - 2014-08-09,+59%
2014-08-10 - 2014-08-16,+57%
2014-08-17 - 2014-08-23,+47%
2014-08-24 - 2014-08-30,+45%
2014-08-31 - 2014-09-06,+48%
2014-09-07 - 2014-09-13,+45%
2014-09-14 - 2014-09-20,+50%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
cake,100
gummy bear,90
beer,80
gummy bear song,65
food,60
mac miller,50
vine,50
candy,45
chocolate,45
mcdonalds,45
pizza,45
cooking,40
cheese,35
ice cream,30
banana,30
drank,30
slender,30
frozen,25
vines,25
bread,20



Rising searches
mac miller,Breakout
slender,Breakout
vine,Breakout
vines,Breakout
frozen,+1,450%
lemonade,+600%
drank,+400%
cake,+150%
gummy bear song,+130%
ice cream,+110%



