News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,People & Society
2014-05-18 - 2014-05-24,+43%
2014-05-25 - 2014-05-31,+51%
2014-06-01 - 2014-06-07,+41%
2014-06-08 - 2014-06-14,+30%
2014-06-15 - 2014-06-21,+27%
2014-06-22 - 2014-06-28,+38%
2014-06-29 - 2014-07-05,+32%
2014-07-06 - 2014-07-12,+32%
2014-07-13 - 2014-07-19,+30%
2014-07-20 - 2014-07-26,+27%
2014-07-27 - 2014-08-02,+30%
2014-08-03 - 2014-08-09,+38%
2014-08-10 - 2014-08-16,+19%
2014-08-17 - 2014-08-23,+38%
2014-08-24 - 2014-08-30,+27%
2014-08-31 - 2014-09-06,+35%
2014-09-07 - 2014-09-13,+19%
2014-09-14 - 2014-09-20,+30%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
marriage,100
india,100
2012,95
baby,60
pregnant,50
ufo,45
immigration,40
divorce,40
us,40
wedding,40
pope,35
health care,35
jesus,30
global warming,30
economy,30
harry potter,30
mandela,30
bigfoot,25
zimmerman,25
nuclear,25



Rising searches
jesus loves you,Breakout
kobe bryant divorce,Breakout
zimmerman,+4,600%
2012,+2,550%
same-sex marriage,+2,050%
nelson mandela,+400%
jesus,+300%
marriage,+300%
divorce,+200%
mandela,+200%



